Coors AC Golden Colorado Native Lager 	American-Style Amber Lager 	United States - Colorado 	8898 	16 	2012-08-14
Iron City Augustiner Premium Amber Lager 	American-Style Amber Lager 	United States - Pennsylvania 	8456 	12 	2011-02-03
Fort Collins 1900 Amber Lager 	American-Style Amber Lager 	United States - Colorado 	9120 	15 	2013-05-16
Wyoming Territory Buffalo Bill Cody Beer 	American-Style Amber Lager 	United States - Wyoming 	8687 	13½ 	2011-12-21
Hudepohl-Schoenling Amber Lager 	American-Style Amber Lager 	United States - Ohio 	9004 	14 	2013-01-08
Sapporo (Chuo) Reserve 	American-Style Amber Lager 	Japan - Tōkyō-to 	8713 	16 	2012-01-26
Great River Dos Pistolas 	American-Style Amber Lager 	United States - Iowa 	9098 	15½ 	2013-05-15
Wisconsin Golden Amber Lager 	American-Style Amber Lager 	United States - Wisconsin 	9414 	15 	2014-04-27
Kros Strain Dark Paradise Amber 	American-Style Amber Lager or Dark Lager 	United States - Nebraska 	9747 	15 	2017-06-23
Ale House Rock Brewzer's Red Ale 	American-Style Amber/Red Ale 	United States - California 	1306 	12½ 	1996-02-14
Carmel Amber Ale 	American-Style Amber/Red Ale 	United States - California 	1878 	14½ 	1996-10-07
Carmel Cypress Amber 	American-Style Amber/Red Ale 	United States - California 	1143 	16 	1995-08-26
Anderson Valley Boont Amber Ale 	American-Style Amber/Red Ale 	United States - California 	496 	13½ 	1994-11-05
Anderson Valley Boont Amber Ale 	American-Style Amber/Red Ale 	United States - California 	774 	17 	1995-02-11
Anderson Valley Boont Amber Ale 	American-Style Amber/Red Ale 	United States - California 	1181 	13 	1995-09-09
Anderson Valley Boont Amber Ale 	American-Style Amber/Red Ale 	United States - California 	1372 	14½ 	1996-04-18
Anderson Valley Whamber 	American-Style Amber/Red Ale 	United States - California 	49 	15 	1993-05-09
Lost Coast Alleycat Amber Ale 	American-Style Amber/Red Ale 	United States - California 	882 	15 	1995-04-25
North Coast Ruedrich's Red Seal Ale 	American-Style Amber/Red Ale 	United States - California 	261 	16 	1993-08-19
North Coast Ruedrich's Red Seal Ale 	American-Style Amber/Red Ale 	United States - California 	1070 	14½ 	1995-06-24
North Coast Ruedrich's Red Seal Ale 	American-Style Amber/Red Ale 	United States - California 	1190 	16 	1995-09-09
North Coast Ruedrich's Red Seal Ale 	American-Style Amber/Red Ale 	United States - California 	1433 	15½ 	1996-05-03
North Coast Ruedrich's Red Seal Ale 	American-Style Amber/Red Ale 	United States - California 	4948 	16½ 	2003-07-07
Rubicon Amber Ale 	American-Style Amber/Red Ale 	United States - California 	630 	9 	1994-11-28
Rubicon Amber Ale 	American-Style Amber/Red Ale 	United States - California 	881 	14½ 	1995-04-25
